id,data_hora,nome_cliente,tipo_interesse,mensagem,vendedor,converteu_venda
1,2025-09-21 13:27:00,Fernanda Duarte,serviço,Quero um orçamento detalhado.,Marcelo,sim
2,2025-09-21 00:50:00,Bruno Ribeiro,peças,Quais peças vocês recomendam para iniciantes?,Priscila,sim
3,2025-09-21 07:30:00,Felipe Barbosa,serviço,Qual o prazo de entrega?,Priscila,sim
4,2025-09-21 10:03:00,Felipe Barbosa,peças,Tem desconto para pagamento à vista?,Renata,não
5,2025-09-21 15:57:00,Mariana Alves,serviço,Vocês enviam para outras cidades?,Thiago,não
6,2025-09-21 18:53:00,Ana Lima,peças,Qual o prazo de entrega?,Gabriel,não
7,2025-09-20 17:58:00,André Fernandes,curso,Vocês fazem instalação?,Marcelo,sim
8,2025-09-21 05:53:00,Larissa Melo,serviço,Qual o prazo de entrega?,Gabriel,sim
9,2025-09-20 17:49:00,João Mendes,peças,Preciso de manutenção no meu carro.,Gabriel,sim
10,2025-09-22 03:10:00,Bruno Ribeiro,informações,Quais peças vocês recomendam para iniciantes?,Marcelo,sim
11,2025-09-22 10:28:00,João Mendes,serviço,Quero um orçamento detalhado.,Gabriel,sim
12,2025-09-20 10:11:00,Patrícia Gomes,curso,Quero um orçamento detalhado.,Priscila,não
13,2025-09-21 18:39:00,Rafael Oliveira,curso,Tem desconto para pagamento à vista?,Thiago,sim
14,2025-09-22 00:57:00,Mariana Alves,curso,Vocês enviam para outras cidades?,Carolina,sim
15,2025-09-21 07:25:00,Tatiane Nunes,peças,Quero informações sobre o curso de drift.,Renata,sim
16,2025-09-22 11:45:00,Tatiane Nunes,curso,Quais peças vocês recomendam para iniciantes?,Renata,sim
17,2025-09-20 10:22:00,André Fernandes,informações,Quero um orçamento detalhado.,Carolina,não
18,2025-09-22 00:39:00,Camila Santos,serviço,Quais peças vocês recomendam para iniciantes?,Renata,sim
19,2025-09-22 02:23:00,Lucas Martins,curso,Vocês enviam para outras cidades?,Thiago,sim
20,2025-09-21 22:32:00,Lucas Martins,serviço,Preciso de manutenção no meu carro.,Priscila,sim
21,2025-09-21 10:36:00,Felipe Barbosa,curso,Tem desconto para pagamento à vista?,Carolina,não
22,2025-09-20 16:14:00,Felipe Barbosa,peças,Quais peças vocês recomendam para iniciantes?,Renata,não
23,2025-09-21 13:13:00,Juliana Costa,peças,Gostaria de saber mais sobre o produto.,Marcelo,não
24,2025-09-21 00:03:00,Eduardo Pereira,serviço,Qual o prazo de entrega?,Renata,sim
25,2025-09-21 18:07:00,André Fernandes,curso,Quais peças vocês recomendam para iniciantes?,Priscila,sim
26,2025-09-20 17:49:00,Carlos Souza,informações,Tem desconto para pagamento à vista?,Priscila,sim
27,2025-09-20 13:21:00,Rodrigo Azevedo,curso,Quero informações sobre o curso de drift.,Marcelo,não
28,2025-09-21 22:58:00,André Fernandes,curso,Gostaria de saber mais sobre o produto.,Carolina,não
29,2025-09-20 17:30:00,André Fernandes,curso,Tem desconto para pagamento à vista?,Renata,sim
30,2025-09-22 05:03:00,Ana Lima,peças,O serviço tem garantia?,Thiago,sim
31,2025-09-20 13:43:00,Bruno Ribeiro,informações,Quais peças vocês recomendam para iniciantes?,Gabriel,sim
32,2025-09-21 16:27:00,Mariana Alves,curso,Preciso de manutenção no meu carro.,Gabriel,sim
33,2025-09-22 06:04:00,Larissa Melo,peças,Qual o prazo de entrega?,Renata,sim
34,2025-09-21 15:45:00,Ana Lima,informações,Gostaria de saber mais sobre o produto.,Carolina,sim
35,2025-09-20 23:57:00,Pedro Rocha,peças,Quero um orçamento detalhado.,Gabriel,não
36,2025-09-22 09:31:00,Juliana Costa,peças,Quero informações sobre o curso de drift.,Thiago,sim
37,2025-09-22 07:45:00,Pedro Rocha,peças,Vocês fazem instalação?,Renata,não
38,2025-09-20 22:10:00,Rodrigo Azevedo,serviço,Quero um orçamento detalhado.,Marcelo,não
39,2025-09-21 09:25:00,Bianca Carvalho,serviço,Gostaria de saber mais sobre o produto.,Renata,não
40,2025-09-22 06:07:00,André Fernandes,peças,Vocês enviam para outras cidades?,Priscila,não
41,2025-09-21 23:56:00,Camila Santos,peças,Vocês enviam para outras cidades?,Carolina,não
42,2025-09-22 08:16:00,Bruno Ribeiro,peças,Qual o prazo de entrega?,Thiago,não
43,2025-09-21 03:01:00,Rodrigo Azevedo,curso,Tem desconto para pagamento à vista?,Marcelo,sim
44,2025-09-21 14:20:00,Pedro Rocha,informações,Tem desconto para pagamento à vista?,Gabriel,sim
45,2025-09-20 14:44:00,Tatiane Nunes,serviço,Vocês fazem instalação?,Renata,sim
46,2025-09-22 00:37:00,Patrícia Gomes,informações,O serviço tem garantia?,Gabriel,não
47,2025-09-22 01:40:00,Ana Lima,serviço,O serviço tem garantia?,Priscila,sim
48,2025-09-22 12:00:00,Eduardo Pereira,peças,Qual o prazo de entrega?,Renata,não
49,2025-09-20 21:21:00,Ana Lima,serviço,Quais peças vocês recomendam para iniciantes?,Thiago,sim
50,2025-09-21 02:24:00,Tatiane Nunes,curso,Qual o prazo de entrega?,Carolina,não
51,2025-09-20 11:21:00,Eduardo Pereira,informações,O serviço tem garantia?,Gabriel,sim
52,2025-09-21 16:40:00,Mariana Alves,curso,Tem desconto para pagamento à vista?,Carolina,sim
53,2025-09-21 05:40:00,André Fernandes,informações,Quais peças vocês recomendam para iniciantes?,Gabriel,sim
54,2025-09-20 14:10:00,Ana Lima,curso,Tem desconto para pagamento à vista?,Thiago,sim
